Interval start;All packets;TCP errors
0;3;0
1;1;0
2;0;0
3;1;0
4;0;0
5;1;0
6;1;0
7;2;0
8;0;0
9;2;0
10;5;0
11;1;0
12;1;0
13;3;0
14;4;0
15;9;0
16;5;0
17;1;0
18;5;0
19;43;0
20;6;0
21;5;0
22;138;0
23;174;0
24;144;0
25;156;0
26;175;0
27;238;0
28;200;0
29;230;0
30;239;0
31;242;0
32;236;0
33;247;0
34;147;0
35;59;1
36;1;0
37;2;0
38;0;0
39;313;0
40;222;0
41;243;1
42;230;0
43;230;0
44;200;0
45;232;0
46;225;0
47;233;0
48;242;0
49;147;0
50;78;0
51;3;0
52;11;0
53;1;0
54;292;1
55;229;0
56;211;0
57;174;0
58;204;0
59;189;0
60;205;1
61;235;0
62;232;0
63;217;0
64;172;0
65;98;0
66;2;0
67;1;0
68;0;0
69;300;0
70;223;0
71;215;0
72;226;0
73;229;0
74;179;0
75;130;1
76;1;0
77;4;0
78;131;0
79;213;0
80;233;0
81;217;1
82;234;0
83;227;0
84;244;0
85;196;0
86;233;0
87;232;0
88;234;0
89;152;0
90;57;0
91;8;0
92;2;0
93;78;0
94;268;0
95;220;0
96;216;1
97;221;0
98;230;0
99;224;0
100;225;0
101;246;0
102;228;1
103;223;0
104;151;0
105;73;0
106;0;0
107;4;0
108;7;0
109;0;0
110;4;0
111;2;0
112;8;0
113;1;0
114;317;0
115;235;0
116;242;0
117;239;2
118;209;0
119;219;0
120;223;0
121;237;0
122;221;0
123;189;0
124;169;0
125;89;0
126;0;0
127;1;0
128;1;0
129;301;0
130;211;0
131;222;0
132;224;0
133;237;0
134;226;0
135;247;0
136;234;0
137;224;0
138;224;0
139;154;0
140;77;0
141;0;0
142;0;0
143;1;0
144;276;0
145;226;0
146;213;0
147;233;0
148;231;0
149;218;0
150;229;0
151;232;0
152;232;0
153;240;0
154;150;0
155;92;0
156;0;0
157;2;0
158;128;0
159;195;0
160;218;0
161;217;0
162;225;0
163;222;0
164;240;0
165;215;0
166;238;0
167;224;0
168;234;0
169;159;0
170;101;0
171;0;0
172;8;0
173;3;0
174;286;0
175;214;0
176;224;0
177;227;0
178;232;0
179;230;0
180;221;0
181;233;0
182;229;0
183;228;0
184;197;0
185;154;0
186;0;0
187;1;0
188;1;0
189;0;0
190;1;0
191;0;0
192;0;0
193;1;0
194;261;0
195;209;0
196;220;0
197;202;0
198;221;0
199;245;0
200;244;0
201;228;0
202;209;0
203;236;0
204;164;0
205;95;0
206;4;1
207;1;0
208;0;0
209;299;0
210;237;0
211;220;1
212;216;1
213;239;0
214;244;0
215;234;0
216;245;0
217;226;0
218;234;0
219;156;0
220;98;0
221;111;2
222;32;0
223;48;1
224;295;0
225;247;0
226;216;0
227;231;0
228;235;0
229;258;0
230;223;0
231;226;0
232;238;0
233;241;0
234;214;0
235;138;0
236;43;0
237;1;0
238;0;0
239;225;0
240;222;0
241;235;0
242;217;0
243;236;0
244;231;0
245;235;0
246;243;0
247;230;0
248;226;0
249;152;0
250;81;0
251;0;0
252;0;0
253;6;0
254;267;0
255;217;0
256;227;0
257;223;0
258;230;0
259;255;0
260;232;0
261;237;0
262;216;0
263;226;0
264;168;0
265;96;0
266;3;0
267;1;0
268;0;0
269;127;0
270;243;0
271;229;0
272;236;0
273;218;0
274;229;0
275;234;0
276;217;0
277;250;0
278;213;0
279;150;0
280;83;0
281;2;0
282;0;0
283;1;0
284;232;0
285;200;0
286;216;0
287;232;0
288;231;0
289;232;0
290;237;0
291;228;0
292;226;0
293;238;0
294;169;0
295;91;0
296;0;0
297;1;0
298;0;0
299;267;0
300;222;0
301;225;0
302;224;0
303;234;0
304;236;0
305;230;0
306;247;0
307;215;0
308;236;0
309;167;0
310;94;0
311;0;0
312;4;0
313;6;0
314;276;0
315;220;0
316;194;0
317;196;0
318;218;0
319;220;0
320;245;0
321;223;0
322;229;0
323;240;0
324;183;0
325;141;0
326;2;0
327;4;0
328;0;0
329;240;0
330;243;0
331;249;0
332;217;0
333;232;0
334;230;0
335;245;0
336;227;0
337;224;0
338;226;0
339;187;0
340;111;0
341;0;0
342;0;0
343;1;0
344;302;0
345;225;0
346;244;0
347;235;0
348;218;0
349;224;0
350;179;0
351;224;0
352;219;0
353;233;0
354;159;0
355;69;0
356;0;0
357;1;0
358;0;0
359;239;0
360;218;0
361;227;0
362;226;0
363;215;0
364;229;0
365;217;0
366;219;0
367;223;0
368;217;0
369;185;0
370;104;0
371;2;0
372;0;0
373;8;0
374;275;0
375;246;0
376;215;0
377;217;0
378;239;0
379;235;0
380;235;0
381;217;0
382;207;0
383;205;0
384;156;0
385;92;0
386;0;0
387;1;0
388;0;0
389;280;0
390;202;0
391;226;0
392;236;0
393;220;0
394;222;0
395;235;0
396;238;0
397;226;0
398;243;0
399;162;0
400;98;0
401;0;0
402;0;0
403;1;0
404;256;0
405;220;0
406;223;0
407;225;0
408;233;3
409;226;0
410;254;0
411;230;0
412;242;0
413;219;0
414;160;0
415;71;0
416;0;0
417;1;0
418;1;0
419;284;0
420;225;0
421;215;0
422;239;0
423;227;0
424;238;0
425;224;0
426;209;0
427;234;0
428;230;0
429;147;0
430;79;0
431;0;0
432;0;0
433;3;0
434;254;0
435;216;0
436;231;0
437;226;0
438;252;0
439;221;0
440;233;1
441;222;0
442;216;0
443;239;0
444;154;0
445;71;1
446;3;1
447;1;0
448;1;0
449;299;0
450;223;0
451;210;0
452;247;0
453;225;0
454;241;0
455;244;0
456;224;0
457;210;0
458;219;0
459;163;0
460;53;0
461;0;0
462;0;0
463;1;0
464;311;0
465;228;0
466;216;0
467;217;0
468;236;0
469;225;0
470;239;0
471;222;0
472;241;0
473;226;0
474;151;0
475;87;0
476;0;0
477;5;0
478;5;0
479;270;0
480;207;0
481;233;0
482;209;0
483;249;0
484;239;0
485;223;0
486;238;0
487;215;0
488;230;0
489;154;0
490;74;0
491;0;0
492;5;0
493;1;0
494;307;0
495;246;0
496;218;0
497;219;0
498;224;0
499;249;0
500;245;0
501;238;0
502;219;0
503;213;0
504;140;0
505;57;0
506;0;0
507;1;0
508;0;0
509;288;0
510;236;0
511;198;0
512;200;0
513;230;0
514;252;0
515;223;0
516;217;0
517;235;0
518;238;0
519;144;0
520;77;0
521;0;0
522;12;0
523;89;0
524;345;0
525;266;2
526;230;0
527;222;0
528;234;0
529;233;0
530;227;0
531;230;0
532;240;0
533;211;0
534;157;0
535;81;0
536;4;0
537;3;0
538;8;0
539;273;0
540;233;0
541;229;0
542;224;0
543;207;0
544;223;0
545;203;0
546;233;0
547;239;0
548;222;0
549;166;0
550;88;0
551;1;0
552;0;0
553;1;0
554;312;0
555;228;0
556;225;0
557;233;0
558;217;0
559;240;0
560;239;0
561;208;0
562;227;0
563;225;0
564;166;0
565;78;0
566;0;0
567;1;0
568;0;0
569;278;0
570;226;0
571;207;0
572;222;0
573;228;2
574;236;0
575;213;0
576;195;0
577;218;0
578;202;0
579;150;0
580;80;0
581;0;0
582;0;0
583;1;0
584;299;0
585;225;0
586;222;0
587;248;0
588;205;0
589;223;0
590;239;0
591;214;0
592;240;0
593;230;0
594;170;0
595;90;0
596;2;0
597;1;0
598;0;0
599;272;0
600;226;0
601;220;0
602;247;0
603;220;0
604;223;0
605;218;0
606;227;0
607;236;0
608;226;0
609;133;0
610;88;0
611;1;0
612;1;0
613;2;0
614;0;0
615;3;0
616;1;0
617;2;0
618;1;0
619;301;0
620;218;0
621;229;0
622;229;0
623;229;0
624;230;0
625;224;0
626;210;0
627;228;0
628;217;0
629;144;0
630;83;0
631;1;0
632;1;0
633;28;0
634;298;0
635;218;0
636;246;0
637;209;0
638;230;0
639;223;0
640;236;0
641;215;0
642;204;0
643;210;2
644;141;0
645;103;0
646;0;0
647;3;0
648;0;0
649;263;1
650;239;0
651;214;0
652;227;0
653;227;0
654;257;0
655;214;0
656;232;0
657;230;0
658;229;0
659;188;0
660;109;0
661;0;0
662;0;0
663;1;0
664;258;0
665;222;0
666;235;0
667;224;0
668;219;0
669;237;0
670;222;0
671;229;0
672;230;0
673;235;0
674;152;0
675;125;0
676;5;0
677;1;0
678;0;0
679;262;0
680;240;0
681;222;0
682;216;0
683;232;0
684;225;0
685;242;0
686;234;0
687;233;0
688;233;0
689;157;0
690;74;0
691;0;0
692;0;0
693;1;0
694;298;0
695;224;0
696;219;0
697;219;0
698;218;0
699;223;0
700;221;0
701;225;0
702;242;0
703;241;0
704;155;0
705;89;0
706;4;0
707;2;0
708;5;0
709;15;0
710;323;0
711;226;0
712;240;0
713;233;0
714;216;0
715;234;0
716;231;0
717;212;0
718;220;0
719;161;0
720;91;0
721;0;0
722;0;0
723;1;0
724;256;0
725;243;0
726;228;0
727;241;0
728;221;0
729;238;0
730;242;0
731;222;0
732;232;0
733;238;0
734;149;0
735;87;0
736;4;0
737;1;0
738;0;0
739;7;0
740;4;0
741;4;0
742;5;0
743;5;0
744;258;0
745;232;0
746;226;0
747;217;0
748;229;0
749;239;0
750;235;0
751;213;0
752;225;0
753;217;0
754;164;0
755;90;0
756;2;0
757;1;0
758;0;0
759;263;0
760;240;0
761;209;0
762;219;0
763;236;0
764;226;0
765;220;0
766;219;0
767;230;0
768;221;0
769;214;0
770;136;0
771;2;0
772;8;0
773;1;0
774;289;0
775;246;0
776;206;0
777;227;0
778;241;0
779;221;0
780;232;0
781;232;0
782;217;0
783;225;0
784;151;0
785;91;0
786;0;0
787;1;0
788;0;0
789;251;0
790;211;0
791;240;0
792;218;0
793;238;0
794;234;0
795;243;0
796;228;0
797;207;0
798;207;0
799;171;0
800;96;0
801;7;0
802;2;0
803;3;0
804;300;0
805;219;0
806;207;0
807;238;0
808;224;0
809;240;0
810;215;0
811;235;0
812;218;0
813;226;0
814;177;0
815;89;0
816;2;0
817;3;0
818;0;0
819;294;2
820;235;0
821;226;0
822;240;0
823;217;0
824;262;0
825;308;1
826;270;0
827;255;3
828;221;0
829;183;0
830;112;0
831;0;0
832;8;0
833;3;0
834;234;0
835;226;0
836;223;0
837;236;0
838;229;0
839;222;0
840;226;0
841;233;0
842;239;0
843;200;0
844;177;0
845;114;0
846;0;0
847;1;0
848;1;0
849;294;0
850;218;0
851;224;0
852;227;0
853;217;0
854;222;0
855;246;0
856;238;0
857;219;0
858;215;0
859;152;0
860;59;0
861;0;0
862;0;0
863;4;0
864;305;0
865;200;0
866;182;0
867;232;0
868;245;0
869;220;0
870;230;1
871;245;0
872;224;0
873;219;0
874;160;0
875;55;0
876;1;1
877;4;0
878;127;0
879;223;0
880;229;0
881;233;0
882;221;0
883;240;0
884;227;0
885;234;0
886;228;0
887;227;0
888;228;0
889;148;0
890;96;0
891;1;1
892;8;0
893;1;0
894;320;0
895;240;0
896;207;0
897;203;1
898;195;0
899;206;0
900;217;0
901;238;0
902;218;2
903;246;0
904;180;0
905;120;0
906;4;0
907;6;0
908;0;0
909;0;0
910;1;0
911;0;0
912;0;0
913;1;0
