"Interval start";"All packets";"TCP errors"
0;2;0
1;0;0
2;0;0
3;4;0
4;0;0
5;0;0
6;1;0
7;0;0
8;1;0
9;6;0
10;2;0
11;11;0
12;4;0
13;1;0
14;0;0
15;3;0
16;1;0
17;2;0
18;0;0
19;1;0
20;3;0
21;0;0
22;0;0
23;1;0
24;0;0
25;9;0
26;1;0
27;4;0
28;0;0
29;0;0
30;1;0
31;0;0
32;35;6
33;12;0
34;9;0
35;7;0
36;2;0
37;1;0
38;8;0
39;5;0
40;23;0
41;11;0
42;2;0
43;2;0
44;3;0
45;1;0
46;1;0
47;2;0
48;1;0
49;0;0
50;1;0
51;0;0
52;0;0
53;1;0
54;0;0
55;0;0
56;1;0
57;0;0
58;9;0
59;6;0
60;4;0
61;2;0
62;0;0
63;6;0
64;0;0
65;0;0
66;4;0
67;4;0
68;0;0
69;0;0
70;4;0
71;0;0
72;0;0
73;1;0
74;0;0
75;2;0
76;1;0
77;0;0
78;0;0
79;0;0
80;1;0
81;0;0
82;0;0
83;1;0
84;0;0
85;1;0
86;2;0
87;1;0
88;0;0
89;6;0
90;3;0
91;14;0
92;8;0
93;4;0
94;8;0
95;6;0
96;1;0
97;0;0
98;3;0
99;1;0
100;1;0
101;7;1
102;1;0
103;1;0
104;2;0
105;11;0
106;227;0
107;11;0
108;38;0
109;259;4
110;65;2
111;38;2
112;198;46
113;99;2
114;469;50
115;308;17
116;65;2
117;1;0
118;2;1
119;14;1
120;68;0
121;0;0
122;5;0
123;6;0
124;9;0
125;2;0
126;1;0
127;0;0
128;0;0
129;0;0
130;1;0
131;0;0
132;0;0
133;1;0
134;0;0
135;1;0
136;4;0
137;6;0
138;0;0
139;0;0
140;1;0
141;0;0
142;0;0
143;1;0
144;5;0
145;0;0
146;1;0
147;4;0
148;1;0
149;1;0
150;7;0
151;0;0
152;5;0
153;7;0
154;8;0
155;0;0
156;4;0
157;10;1
158;0;0
159;4;0
160;3;0
161;0;0
162;0;0
163;1;0
164;1;0
165;0;0
166;1;0
167;0;0
168;0;0
169;0;0
170;1;0
171;0;0
172;0;0
173;1;0
174;0;0
175;0;0
176;17;0
177;0;0
178;0;0
179;0;0
180;1;0
181;0;0
182;6;0
183;5;0
184;2;0
185;12;0
186;84;1
187;38;1
188;53;2
189;0;0
190;10;0
191;0;0
192;4;0
193;2;0
194;0;0
195;3;0
196;2;0
197;2;1
198;17;1
199;2;1
200;1;0
201;3;1
202;3;0
203;1;0
204;2;0
205;5;0
206;4;1
207;3;0
208;1;0
209;0;0
210;1;0
211;0;0
212;6;0
213;74;0
214;307;0
215;290;0
216;304;0
217;322;0
218;354;0
219;362;0
220;383;0
221;401;0
222;378;0
223;388;0
224;386;0
225;370;0
226;134;0
227;0;0
228;0;0
229;2;0
230;24;0
231;0;0
232;536;0
233;379;0
234;386;0
235;378;0
236;379;0
237;387;0
238;378;0
239;378;0
240;387;0
241;382;0
242;107;0
243;5;0
244;3;0
245;7;0
246;127;0
247;570;0
248;386;0
249;381;0
250;381;0
251;379;0
252;387;0
253;382;0
254;381;0
255;386;0
256;394;1
257;117;0
258;1;0
259;0;0
260;4;0
261;1;0
262;619;0
263;382;0
264;386;0
265;378;0
266;380;0
267;387;0
268;380;1
269;389;0
270;391;0
271;378;0
272;174;0
273;4;0
274;8;0
275;2;0
276;2;0
277;1;0
278;5;0
279;0;0
280;1;0
281;0;0
282;562;0
283;379;0
284;379;1
285;382;0
286;387;0
287;378;0
288;382;0
289;398;0
290;379;0
291;378;0
292;126;0
293;1;0
294;0;0
295;3;0
296;28;0
297;462;0
298;393;1
299;380;0
300;380;0
301;389;0
302;378;0
303;383;0
304;389;0
305;378;0
306;417;0
307;0;0
308;5;0
309;0;0
310;1;0
311;0;0
312;614;0
313;383;0
314;379;1
315;385;0
316;383;0
317;378;0
318;382;0
319;382;0
320;379;0
321;452;0
322;33;1
323;2;0
324;1;0
325;0;0
326;1;0
327;602;0
328;378;0
329;386;0
330;379;0
331;378;0
332;387;0
333;370;0
334;400;0
335;384;0
336;377;0
337;222;0
338;5;0
339;0;0
340;1;0
341;2;0
342;655;0
343;384;0
344;381;0
345;383;0
346;381;0
347;375;0
348;382;0
349;378;0
350;387;0
351;381;0
352;240;0
353;1;0
354;3;0
355;11;0
356;1;0
357;178;0
358;531;0
359;380;0
360;379;0
361;384;0
362;380;0
363;382;0
364;384;0
365;379;0
366;381;0
367;256;0
368;17;0
369;5;0
370;7;0
371;128;0
372;567;0
373;379;0
374;384;0
375;378;0
376;383;0
377;383;0
378;384;0
379;378;0
380;379;0
381;378;0
382;188;0
383;1;0
384;0;0
385;6;0
386;2;0
387;608;0
388;387;0
389;382;0
390;388;0
391;378;0
392;385;0
393;392;0
394;387;0
395;382;0
396;378;0
397;183;0
398;7;0
399;2;0
400;1;0
401;2;0
402;611;0
403;383;0
404;434;2
405;397;1
406;383;0
407;378;0
408;380;0
409;380;0
410;382;0
411;383;0
412;143;0
413;1;0
414;0;0
415;0;0
416;4;0
417;405;0
418;378;0
419;378;0
420;379;0
421;393;0
422;380;0
423;382;0
424;384;0
425;383;0
426;379;0
427;242;0
428;5;0
429;0;0
430;1;0
431;226;0
432;499;0
433;379;0
434;378;0
435;382;0
436;383;0
437;378;0
438;378;0
439;385;0
440;383;0
441;395;0
442;78;0
443;1;0
444;2;0
445;1;0
446;1;0
447;538;0
448;387;0
449;378;0
450;381;0
451;388;0
452;379;0
453;385;0
454;400;0
455;381;0
456;386;0
457;178;0
458;5;0
459;0;0
460;2;0
461;1;0
462;308;0
463;462;0
464;380;0
465;383;0
466;384;0
467;383;0
468;382;0
469;378;0
470;387;0
471;383;0
472;123;0
473;2;1
474;0;0
475;1;0
476;2;0
477;517;0
478;398;0
479;379;1
480;382;0
481;386;0
482;378;0
483;382;0
484;384;0
485;380;0
486;382;0
487;250;0
488;96;0
489;46;0
490;50;2
491;2;0
492;604;0
493;381;0
494;386;0
495;383;0
496;383;0
497;386;0
498;383;0
499;380;0
500;399;0
501;384;0
502;4;0
503;3;0
504;3;0
505;0;0
506;1;0
507;531;0
508;378;0
509;387;0
510;384;0
511;378;0
512;386;0
513;364;0
514;386;0
515;386;0
516;379;0
517;148;0
518;5;0
519;2;0
520;14;0
521;0;0
522;610;0
523;381;0
524;398;0
525;378;0
526;379;0
527;378;0
528;378;0
529;388;0
530;380;0
531;378;0
532;124;0
533;2;0
534;1;0
535;3;0
536;1;0
537;438;0
538;380;0
539;386;0
540;379;0
541;378;0
542;385;0
543;388;0
544;378;0
545;383;0
546;386;0
547;201;0
548;4;0
549;0;0
550;1;0
551;14;0
552;613;0
553;391;0
554;391;0
555;386;0
556;387;0
557;391;0
558;389;0
559;380;0
560;379;0
561;389;0
562;158;0
563;2;0
564;5;0
565;0;0
566;2;0
567;502;1
568;379;0
569;386;0
570;384;0
571;378;0
572;386;0
573;383;1
574;399;0
575;390;0
576;379;0
577;163;0
578;0;0
579;1;0
580;3;0
581;0;0
582;478;0
583;379;0
584;380;0
585;385;0
586;388;0
587;380;0
588;414;1
589;379;0
590;383;0
591;384;0
592;135;0
593;1;0
594;2;1
595;1;0
596;1;0
597;1;1
598;3;0
599;0;0
600;11;0
601;0;0
602;627;0
603;387;1
604;383;0
605;382;0
606;383;0
607;378;0
608;384;0
609;384;1
610;379;0
611;380;0
612;118;0
613;1;0
614;0;0
615;5;1
616;1;0
617;568;0
618;387;1
619;390;0
620;379;0
621;386;0
622;378;0
623;379;0
624;387;1
625;378;0
626;472;0
627;6;0
628;0;0
629;0;0
630;7;1
631;0;0
632;634;0
633;390;0
634;388;0
635;378;0
636;386;1
637;380;0
638;378;0
639;384;0
640;401;0
641;375;0
642;158;0
643;1;0
644;0;0
645;3;0
646;1;0
647;618;0
648;387;0
649;379;0
650;381;0
651;388;1
652;423;1
653;383;0
654;386;0
655;381;0
656;379;0
657;186;1
658;5;0
659;1;0
660;1;0
661;8;0
662;561;0
663;388;0
664;384;0
665;379;0
666;379;0
667;388;0
668;381;0
669;380;0
670;385;0
671;380;0
672;203;1
673;3;0
674;2;0
675;0;0
676;1;0
677;692;0
678;379;1
679;378;0
680;387;0
681;378;0
682;378;0
683;387;0
684;378;0
685;387;0
686;387;0
687;187;0
688;0;0
689;0;0
690;3;0
691;11;0
692;0;0
693;541;1
694;387;0
695;380;0
696;390;0
697;382;0
698;379;0
699;385;1
700;393;0
701;376;0
702;381;1
703;140;0
704;0;0
705;0;0
706;4;0
707;412;0
708;419;1
709;383;0
710;385;0
711;379;0
712;384;0
713;386;0
714;380;1
715;382;0
716;380;0
717;246;0
718;10;0
719;2;0
720;5;1
721;0;0
722;125;0
723;579;0
724;380;0
725;378;0
726;386;0
727;378;0
728;385;0
729;381;0
730;382;0
731;380;0
732;223;0
733;1;0
734;0;0
735;1;1
736;1;0
737;603;0
738;381;0
739;383;0
740;380;0
741;386;1
742;379;0
743;380;0
744;381;0
745;384;0
746;438;0
747;3;0
748;0;0
749;0;0
750;1;0
751;14;0
752;626;0
753;383;0
754;395;0
755;384;0
756;381;1
757;389;0
758;385;0
759;378;0
760;389;0
761;383;0
762;236;1
763;4;0
764;0;0
765;3;0
766;6;0
767;572;0
768;378;0
769;386;0
770;380;0
771;379;0
772;387;0
773;379;0
774;379;0
775;387;0
776;380;0
777;164;1
778;0;0
779;0;0
780;20;0
781;10;0
782;628;0
783;390;1
784;387;0
785;385;0
786;380;0
787;378;0
788;391;0
789;401;0
790;487;1
791;432;0
792;246;2
793;61;0
794;0;0
795;1;0
796;1;0
797;536;0
798;385;1
799;380;0
800;379;0
801;378;0
802;393;0
803;390;0
804;380;1
805;380;0
806;385;0
807;99;0
808;6;0
809;1;0
810;8;0
811;3;0
812;612;0
813;392;0
814;391;0
815;378;0
816;390;0
817;392;1
818;379;0
819;388;1
820;382;0
821;378;0
822;119;0
823;14;0
824;1;0
825;1;1
826;2;0
827;412;0
828;420;0
829;384;0
830;381;0
831;378;0
832;382;0
833;361;0
834;378;0
835;384;0
836;380;0
837;193;0
838;0;0
839;0;0
840;2;1
841;5;0
842;412;0
843;421;0
844;376;0
845;384;0
846;380;1
847;383;0
848;381;0
849;380;0
850;396;0
851;360;0
852;0;0
853;6;0
854;1;0
855;1;0
856;2;0
857;477;0
858;383;0
859;379;0
860;387;0
861;380;1
862;378;0
863;391;0
864;381;0
865;382;0
866;382;0
867;108;1
868;1;0
869;4;0
870;2;0
871;5;0
872;547;0
873;383;0
874;389;0
875;388;0
876;379;0
877;380;0
878;388;0
879;378;0
880;382;0
881;384;0
882;171;0
883;11;1
884;0;0
885;0;0
886;1;0
887;618;0
888;382;0
889;382;1
890;421;0
891;382;0
892;378;0
893;383;0
894;382;0
895;378;0
896;383;0
897;221;0
898;3;0
899;0;0
900;1;0
901;6;0
902;618;0
903;384;0
904;387;1
905;378;0
906;387;0
907;378;0
908;378;0
909;384;0
910;382;1
911;378;0
912;184;0
913;6;0
914;0;0
915;6;0
916;16;0
917;636;0
918;378;0
919;385;0
920;388;0
921;379;0
922;382;0
923;381;0
924;386;0
925;382;1
926;474;0
927;0;0
928;3;0
929;0;0
930;1;0
931;3;1
932;393;0
933;398;0
934;387;0
935;389;0
936;379;0
937;378;0
938;386;0
939;381;0
940;380;0
941;387;0
942;148;0
943;3;0
944;1;0
945;1;0
946;2;1
947;622;0
948;385;0
949;388;0
950;382;0
951;382;0
952;379;1
953;384;0
954;383;0
955;381;0
956;379;0
957;104;0
958;4;0
959;4;0
960;2;0
961;175;0
962;528;0
963;384;0
964;379;0
965;386;0
966;381;0
967;102;0
968;3;0
969;0;0
970;1;0
971;244;0
972;484;0
973;379;0
974;388;0
975;383;1
976;379;0
977;391;0
978;378;0
979;380;0
980;387;0
981;446;1
982;10;0
983;1;0
984;4;0
985;4;0
986;129;0
987;572;0
988;384;0
989;378;0
990;379;0
991;387;0
992;378;0
993;386;0
994;380;0
995;396;0
996;382;0
997;137;0
998;8;0
999;2;0
1000;3;0
1001;8;0
1002;633;0
1003;381;0
1004;385;0
1005;379;0
1006;379;0
1007;382;0
1008;382;0
1009;378;0
1010;379;0
1011;380;0
1012;157;0
1013;1;0
1014;5;0
1015;11;0
1016;1;0
1017;3;0
1018;0;0
1019;0;0
1020;4;0
