"Interval start";"All packets";"TCP errors"
0;1;0
1;3;0
2;0;0
3;1;0
4;0;0
5;0;0
6;1;0
7;2;0
8;3;0
9;10;0
10;0;0
11;0;0
12;1;0
13;54;0
14;536;0
15;529;0
16;539;0
17;536;0
18;529;0
19;539;0
20;539;0
21;529;0
22;544;0
23;455;0
24;1;0
25;0;0
26;0;0
27;1;0
28;39;0
29;535;0
30;540;0
31;534;0
32;535;0
33;536;0
34;160;0
35;0;0
36;2;0
37;4;0
38;9;0
39;508;0
40;535;0
41;541;0
42;545;0
43;535;0
44;536;0
45;536;0
46;534;0
47;535;0
48;462;0
49;0;0
50;4;0
51;0;0
52;8;0
53;7;1
54;377;0
55;533;0
56;537;0
57;537;0
58;533;0
59;534;0
60;537;0
61;546;0
62;617;1
63;153;0
64;50;2
65;0;0
66;0;0
67;3;0
68;67;0
69;536;0
70;538;0
71;531;0
72;543;0
73;539;0
74;546;0
75;546;2
76;537;0
77;533;0
78;527;0
79;24;0
80;4;0
81;2;1
82;9;0
83;2;0
84;1;0
85;0;0
86;0;0
87;2;0
88;1;0
89;6;0
90;1;0
91;0;0
92;4;0
93;64;0
94;532;0
95;538;0
96;541;0
97;528;0
98;538;0
99;541;0
100;528;0
101;543;0
102;541;0
103;402;0
104;3;0
105;0;0
106;0;0
107;1;0
108;9;0
109;0;0
110;6;0
111;3;0
112;0;0
113;134;0
114;536;0
115;540;0
116;527;0
117;537;0
118;541;0
119;527;0
120;537;0
121;540;0
122;527;0
123;401;0
124;2;0
125;3;0
126;0;0
127;1;0
128;165;0
129;537;0
130;539;0
131;530;0
132;538;0
133;534;0
134;532;0
135;536;0
136;535;0
137;533;0
138;383;0
139;6;0
140;7;0
141;10;0
142;13;0
143;183;0
144;532;0
145;531;0
146;546;0
147;534;0
148;532;0
149;541;0
150;535;0
151;533;0
152;542;0
153;352;0
154;6;0
155;4;0
156;1;0
157;2;0
158;1;0
159;387;0
160;530;0
161;532;0
162;569;0
163;534;0
164;527;0
165;543;0
166;538;0
167;528;0
168;401;0
169;0;0
170;6;0
171;0;0
172;0;0
173;186;0
174;553;1
175;534;0
176;529;0
177;543;0
178;532;0
179;529;0
180;544;0
181;533;0
182;529;0
183;478;0
184;7;0
185;3;0
186;0;0
187;1;0
188;131;0
189;535;0
190;549;0
191;527;0
192;535;0
193;398;0
194;1;0
195;0;0
196;3;0
197;1;0
198;160;0
199;540;0
200;544;0
201;531;0
202;546;0
203;540;0
204;530;0
205;537;0
206;539;0
207;544;1
208;383;0
209;0;0
210;2;0
211;3;0
212;5;0
213;188;0
214;542;0
215;538;0
216;530;0
217;540;0
218;537;0
219;529;0
220;539;0
221;545;0
222;532;0
223;478;0
224;1;0
225;1;0
226;1;0
227;2;0
228;105;0
229;528;0
230;536;0
231;545;0
232;529;0
233;532;0
234;544;0
235;528;0
236;531;0
237;543;0
238;439;0
239;0;0
240;16;0
241;1;0
242;1;0
243;136;0
244;533;0
245;539;0
246;541;0
247;533;0
248;535;0
249;532;0
250;550;0
251;538;0
252;534;0
253;458;0
254;2;0
255;7;0
256;7;0
257;4;0
258;3;0
259;446;0
260;530;0
261;539;0
262;548;0
263;528;0
264;526;0
265;537;0
266;534;0
267;532;0
268;451;0
269;0;0
270;1;0
271;0;0
272;0;0
273;66;0
274;534;0
275;538;0
276;538;0
277;534;0
278;536;0
279;536;0
280;533;0
281;540;0
282;526;0
283;477;0
284;0;0
285;0;0
286;0;0
287;6;0
288;29;0
289;528;0
290;541;0
291;539;0
292;530;0
293;538;0
294;539;0
295;530;0
296;537;0
297;536;0
298;442;0
299;3;0
300;1;0
301;0;0
302;3;0
303;57;0
304;538;0
305;539;0
306;543;1
307;535;0
308;536;0
309;533;0
310;535;0
311;536;0
312;532;0
313;402;0
314;0;0
315;0;0
316;0;0
317;1;0
318;0;0
319;544;0
320;532;0
321;532;0
322;545;0
323;535;0
324;532;0
325;533;0
326;538;0
327;533;0
328;428;0
329;0;0
330;2;0
331;3;0
332;2;0
333;74;0
334;536;0
335;537;0
336;532;0
337;538;0
338;531;0
339;536;1
340;527;0
341;531;0
342;538;0
343;547;0
344;0;0
345;6;1
346;0;0
347;1;0
348;128;0
349;538;0
350;531;0
351;543;1
352;538;0
353;529;0
354;555;0
355;538;0
356;526;0
357;539;0
358;462;0
359;0;0
360;4;0
361;0;0
362;0;0
363;161;0
364;621;0
365;576;0
366;587;1
367;536;0
368;533;0
369;534;0
370;536;0
371;534;0
372;543;0
373;419;0
374;0;0
375;1;0
376;18;0
377;2;0
378;16;0
379;534;0
380;537;0
381;537;0
382;542;0
383;534;0
384;536;0
385;534;0
386;534;0
387;539;0
388;426;0
389;0;0
390;1;0
391;0;0
392;0;0
393;1;0
394;2;0
395;3;0
396;3;0
397;1;0
398;56;0
399;534;0
400;538;0
401;537;0
402;534;0
403;543;0
404;532;0
405;543;0
406;540;0
407;533;0
408;470;0
409;4;0
410;6;0
411;0;0
412;3;0
413;78;0
414;533;0
415;535;0
416;538;0
417;534;0
418;529;0
419;543;0
420;535;0
421;526;0
422;543;0
423;495;0
424;4;0
425;3;0
426;0;0
427;1;0
428;0;0
429;510;0
430;535;0
431;533;0
432;536;0
433;535;0
434;534;0
435;537;0
436;535;0
437;541;0
438;538;0
439;240;0
440;7;0
441;1;0
442;10;0
443;1;0
444;541;0
445;533;0
446;538;0
447;532;0
448;530;0
449;531;0
450;540;0
451;527;0
452;527;0
453;526;0
454;2;0
455;3;0
456;0;0
457;1;0
458;60;0
459;534;0
460;538;0
461;542;0
462;534;0
463;538;0
464;568;0
465;536;0
466;537;0
467;536;0
468;484;0
469;0;0
470;7;0
471;9;0
472;0;0
473;76;0
474;534;0
475;531;0
476;541;0
477;535;0
478;531;0
479;539;0
480;535;0
481;526;0
482;526;0
483;455;0
484;0;0
485;0;0
486;1;0
487;2;0
488;121;0
489;538;0
490;535;0
491;531;0
492;538;0
493;535;0
494;531;0
495;540;0
496;538;0
497;534;0
498;545;0
499;25;0
500;4;0
501;1;1
502;8;0
503;1;0
504;92;1
505;536;0
506;527;0
507;547;1
508;534;0
509;526;0
510;545;0
511;536;0
512;527;0
513;528;0
514;325;0
515;0;0
516;0;0
517;2;0
518;1;0
519;262;0
520;528;0
521;536;0
522;548;0
523;528;0
524;531;0
525;547;0
526;533;0
527;532;0
528;545;0
529;530;0
530;536;0
531;545;0
532;530;0
533;452;0
534;6;0
535;3;0
536;0;0
537;10;0
538;185;0
539;534;0
540;539;0
541;531;0
542;531;0
543;547;0
544;532;0
545;534;0
546;527;0
547;531;0
548;365;0
549;2;0
550;2;0
551;3;0
552;8;0
553;229;0
554;534;0
555;531;0
556;538;0
557;527;0
558;541;0
559;541;0
560;530;0
561;539;0
562;546;0
563;527;0
564;53;0
565;0;0
566;7;0
567;3;0
568;121;0
569;537;0
570;558;0
571;585;1
572;540;0
573;535;0
574;537;0
575;537;0
576;534;0
577;536;0
578;411;0
579;2;0
580;3;0
581;0;0
582;4;0
583;83;0
584;529;0
585;534;0
586;543;0
587;530;0
588;532;0
589;542;0
590;530;0
591;535;0
592;548;0
593;404;0
594;0;0
595;0;0
596;0;0
597;49;0
598;43;0
599;222;0
600;537;0
601;532;0
602;533;0
603;548;0
604;532;0
605;533;0
606;539;0
607;535;0
608;533;0
609;100;0
610;1;0
611;12;0
612;0;0
613;67;0
614;541;0
615;528;0
616;534;0
617;542;0
618;528;0
619;534;0
620;545;0
621;528;0
622;546;0
623;538;0
624;15;0
625;4;0
626;1;0
627;71;1
628;31;0
629;531;0
630;532;0
631;544;0
632;541;0
633;530;0
634;540;0
635;541;0
636;539;1
637;540;0
638;463;0
639;1;0
640;4;0
641;2;0
642;1;0
643;36;0
644;528;0
645;532;0
646;543;0
647;529;0
648;540;0
649;537;0
650;537;0
651;531;0
652;542;0
653;485;0
654;0;0
655;0;0
656;14;1
657;1;0
658;138;0
659;543;0
660;530;0
661;532;0
662;544;0
663;533;0
664;533;0
665;559;0
666;596;0
667;559;0
668;536;1
669;61;2
670;1;0
671;0;0
672;0;0
673;9;0
674;5;0
675;0;0
676;1;0
677;5;0
678;32;0
679;542;0
680;555;0
681;526;0
682;536;0
683;538;0
684;526;0
685;545;0
686;539;0
687;533;0
688;450;0
689;6;0
690;1;0
691;0;0
692;0;0
693;3;0
694;6;0
695;2;0
696;5;0
697;8;0
698;3;0
699;521;0
700;533;0
701;550;0
702;546;0
703;527;0
704;542;0
705;535;0
706;526;0
707;542;0
708;487;0
709;0;0
710;5;0
711;0;0
712;2;0
713;62;0
714;528;0
715;536;0
716;534;0
717;542;0
718;529;0
719;536;0
720;536;0
721;532;0
722;536;0
723;470;0
724;0;0
725;0;0
726;0;0
727;1;0
728;19;0
729;536;0
730;538;0
731;533;0
732;526;0
733;544;0
734;537;0
735;535;0
736;543;0
737;538;0
738;526;0
739;167;0
740;7;0
741;10;0
742;10;0
743;24;0
744;540;0
745;532;0
746;530;0
747;541;0
748;533;0
749;530;0
750;541;0
751;533;0
752;530;0
753;537;0
754;115;0
755;0;0
756;0;0
757;1;0
758;4;0
759;530;0
760;539;0
761;543;0
762;528;0
763;540;0
764;541;0
765;529;0
766;563;0
767;533;0
768;535;0
769;44;0
770;5;0
771;2;0
772;5;0
773;36;0
774;529;0
775;535;0
776;527;0
777;542;0
778;535;0
779;527;0
780;542;0
781;535;0
782;526;0
783;369;0
784;0;0
785;0;0
786;5;0
787;1;0
788;145;0
789;543;0
790;529;0
791;536;0
792;542;0
793;529;0
794;536;0
795;542;0
796;528;0
797;537;0
798;444;0
799;29;7
800;5;0
801;15;0
802;14;0
803;162;0
804;533;0
805;547;0
806;529;0
807;534;0
808;543;0
809;528;0
810;533;0
811;544;0
812;528;0
813;425;0
814;3;0
815;0;0
816;0;0
817;1;0
818;86;0
819;545;0
820;527;0
821;537;0
822;545;0
823;527;0
824;532;0
825;545;0
826;527;0
827;541;0
828;402;0
829;0;0
830;6;1
831;0;0
832;2;0
833;94;0
834;544;0
835;543;0
836;529;1
837;532;0
838;540;0
839;532;0
840;531;0
841;545;0
842;534;0
843;427;0
844;3;0
845;0;0
846;0;0
847;4;0
848;44;0
849;534;0
850;538;0
851;535;0
852;532;0
853;540;0
854;535;0
855;532;0
856;539;0
857;536;0
858;532;0
859;144;0
860;4;0
861;0;0
862;10;0
863;61;0
864;535;0
865;530;0
866;535;0
867;548;0
868;535;1
869;535;0
870;539;0
871;530;0
872;535;0
873;427;0
874;0;0
875;0;0
876;0;0
877;1;0
878;25;0
879;533;0
880;536;0
881;538;0
882;539;0
883;536;0
884;533;0
885;535;0
886;535;0
887;534;0
888;467;0
889;0;0
890;5;0
891;0;0
892;2;0
893;86;0
894;548;0
895;534;0
896;526;0
897;536;0
898;537;0
899;530;0
900;544;0
901;529;0
902;527;0
903;382;0
904;1;0
905;0;0
906;3;0
907;2;0
908;181;0
909;536;0
910;533;0
911;537;0
912;534;0
913;533;0
914;538;0
915;536;0
916;533;0
917;539;0
918;509;0
919;0;0
920;4;0
921;0;0
922;8;0
923;1;0
924;0;0
925;0;0
926;0;0
927;1;0
