"Interval start";"All packets";"TCP errors"
0;5;0
1;0;0
2;0;0
3;2;0
4;0;0
5;55;0
6;121;4
7;130;1
8;131;1
9;142;5
10;154;13
11;153;7
12;130;0
13;121;0
14;131;4
15;137;3
16;136;1
17;49;0
18;94;0
19;150;0
20;155;2
21;133;0
22;154;13
23;151;1
24;84;2
25;1;0
26;34;8
27;26;0
28;14;0
29;122;1
30;154;2
31;149;0
32;171;9
33;166;1
34;139;3
35;160;9
36;151;0
37;161;1
38;152;4
39;180;2
40;154;0
41;171;2
42;153;0
43;162;0
44;154;1
45;158;0
46;176;3
47;154;2
48;156;0
49;152;2
50;163;5
51;161;4
52;169;2
53;155;2
54;158;3
55;159;5
56;163;2
57;158;0
58;153;0
59;156;2
60;163;0
61;149;0
62;152;0
63;156;0
64;159;0
65;88;4
66;72;0
67;159;3
68;42;2
69;153;2
70;87;0
71;118;13
72;157;2
73;32;1
74;152;1
75;156;0
76;157;0
77;157;0
78;153;1
79;146;1
80;151;0
81;156;0
82;163;1
83;233;27
84;43;2
85;16;0
86;79;21
87;110;39
88;108;2
89;111;8
90;118;10
91;117;16
92;130;32
93;115;9
94;119;2
95;164;16
96;151;24
97;123;15
98;121;6
99;123;50
100;114;6
101;114;6
102;95;5
103;107;2
104;101;0
105;112;3
106;108;3
107;132;91
108;120;36
109;115;3
110;112;1
111;155;5
112;160;14
113;141;4
114;166;23
115;137;9
116;127;12
117;121;10
118;107;2
119;115;3
120;116;0
121;123;9
122;123;4
123;139;7
124;165;54
125;148;50
126;165;56
127;128;20
128;118;3
129;117;0
130;123;9
131;117;0
132;145;7
133;138;0
134;121;0
135;138;0
136;123;2
137;156;10
138;151;42
139;149;83
140;135;8
141;121;3
142;117;6
143;113;4
144;125;1
145;113;0
146;125;5
147;101;8
148;26;2
149;8;0
150;11;1
151;14;0
152;6;0
153;5;2
154;9;0
155;111;0
156;126;0
157;144;4
158;160;2
159;158;0
160;161;0
161;164;0
162;161;6
163;168;9
164;149;1
165;156;0
166;0;0
167;15;0
168;0;0
169;166;4
170;36;2
171;27;2
172;10;0
173;17;2
174;3;0
175;3;2
176;12;0
177;0;0
178;0;0
179;2;2
180;10;0
181;1;0
182;2;2
183;4;2
184;76;3
185;106;0
186;115;6
